date,name,is_holiday
2024-05-03,Orthodox Good Friday,1
2024-05-04,Orthodox Holy Saturday,1
2024-05-05,Orthodox Easter Sunday,1
2024-05-06,Orthodox Easter Monday,1
2024-05-09,Victory Day,1
2024-05-12,Saint Andrew the First-Called Day,1
2024-05-26,Independence Day,1
2024-08-28,Saint Mary's Day (Mariamoba),1
2024-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2024-11-23,Saint George's Day (Giorgoba),1
2025-01-01,New Year's Day,1
2025-01-02,New Year's Holiday,1
2025-01-07,Orthodox Christmas,1
2025-01-19,Orthodox Epiphany,1
2025-03-03,Mother's Day,1
2025-03-08,International Women's Day,1
2025-04-09,National Unity Day,1
2025-04-18,Orthodox Good Friday,1
2025-04-19,Orthodox Holy Saturday,1
2025-04-20,Orthodox Easter Sunday,1
2025-04-21,Orthodox Easter Monday,1
2025-05-09,Victory Day,1
2025-05-12,Saint Andrew the First-Called Day,1
2025-05-26,Independence Day,1
2025-08-28,Saint Mary's Day (Mariamoba),1
2025-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2025-11-23,Saint George's Day (Giorgoba),1
