target,role,model,n,MAE,skill_vs_naive_%,skill_vs_ops_%,ops_MAE
Revenues,CHAMPION,LightGBM_L1,146,37228524.50617652,55.95644879379269,31.992202985266204,54741553.381167464
Revenues,best non-champion (E_QUANTILE),ResidualRF,204,33259968.705430966,49.54991714003235,20.86297193246922,42028326.71078943
Expenditure,CHAMPION,LightGBM_L1,146,54513301.5355086,29.193670877300992,2.7876783893397206,56076534.9827122
Expenditure,best non-champion,— none on disk —,0,,,,
State budget balance,CHAMPION,HistGBDT_L1,146,121820977.81963369,33.698239129617136,,
State budget balance,best non-champion (E_QUANTILE),ResidualRF,150,131931341.32690185,28.978744542763422,,
